,218166_s_at,202303_x_at,213251_at,213859_x_at,205436_s_at,212524_x_at,212525_s_at,213344_s_at,208490_x_at,208523_x_at,210387_at,214455_at,215779_s_at,218148_at,208583_x_at,215071_s_at,214463_x_at,208046_at,205176_s_at,209911_x_at,222067_x_at,214469_at,201092_at,219555_s_at,222118_at,220247_at,218726_at,214290_s_at,218280_x_at,208180_s_at,202487_s_at,212205_at,212206_s_at,220936_s_at,207611_at,204962_s_at,210821_x_at,200853_at,213911_s_at,202708_s_at,214502_at,205967_at,207046_at,208181_at,208580_x_at,214516_at,208546_x_at,204739_at,206951_at,213599_at,201614_s_at,219472_at,208515_at,214540_at,209478_at,210371_s_at,217301_x_at,219294_at,218741_at,214472_at,214522_x_at,219004_s_at,209806_at,208569_at,207590_s_at,214804_at,206500_s_at,208527_x_at,208547_at,208076_at,214562_at,200063_s_at,221691_x_at,221923_s_at,218883_s_at,207226_at,213454_at,214412_at,208026_at
208547_at,2.0,,,,2.0,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,2.0,2.0,,,,2.0,,2.0,2.0,2.0
208076_at,2.0,,,,2.0,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,,,,,,,2.0,,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,,,,,,2.0,,2.0,2.0,
214562_at,2.0,,,,2.0,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,,,,,,,2.0,,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,,,,,,2.0,,2.0,2.0,
200063_s_at,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0
221691_x_at,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0
221923_s_at,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0
218883_s_at,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,2.0,,2.0,,,2.0,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,
207226_at,2.0,,,,2.0,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,2.0,2.0,,,,2.0,,2.0,2.0,2.0
213454_at,2.0,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,2.0,,,,,,,,,2.0,2.0,,,,,,,,,,,2.0,,2.0,,2.0,,,2.0,,,2.0,2.0,,,2.0,,,,,2.0,,,,,,,,2.0,,,,
214412_at,2.0,,,,,,,,,,,,,2.0,,,,,2.0,,,,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,2.0,,,,,,,,,,,2.0,,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,,,2.0,,,2.0,2.0,2.0,,,,,,,,2.0,,2.0,,
208026_at,2.0,,,,2.0,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,,,,,,,2.0,,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,,,,,,2.0,,2.0,2.0,
